address,name,address2 ,city,postcode ,lat,lng,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level
9-10 Albion Street,The Surgery,9 -10 Albion Street,"Brighton,East Sussex",BN2 9PS,50.827664,-0.1337666,"Albion Street, Brighton, BN2 9PS, United Kingdom",Albion Street,,Albion Street,BN2 9PS,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.7,1,1
Anchor Field Surgery,Anchor Field Surgery,30 Anchor Fields,"Ringmer, East Sussex",BN8 5QN,50.89251625,0.059089704086722955,"Anchor Field Surgery, Anchor Field, Lewes, BN8 5QN, United Kingdom",Anchor Field Surgery,,Anchor Field,BN8 5QN,Ringmer,Ringmer,Lewes,East Sussex,ESX,England,ENG,United Kingdom,gb,1,1,1
Ardingly Court Surgery,The Surgery,"Ardingly Court, 1 Ardingly Street","Brighton,East Sussex",BN2 1SS,50.82311785,-0.156295173,"Embassy Court, King's Road, Brighton, BN1 2PY, United Kingdom",Embassy Court,,King's Road,BN1 2PY,,Brunswick,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.012857142857142855,0.3,0.042857143
1 The Avenue,The Avenue Surgery,1 The Avenue,"Moulsecoomb,Brighton,East Sussex",BN2 4GF,50.84549560000001,-0.113798947,"The Avenue Surgery, 1 The Avenue, Brighton, BN2 4GF, United Kingdom",The Avenue Surgery,1,The Avenue,BN2 4GF,,Moulsecoomb,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,1,1,1
100 Beaconsfield Villas,The Haven Practice,100 Beaconsfield Villas,"Brighton,East Sussex",BN1 6HE,50.8427651,-0.1426277,"The Haven Practice, 100 Beaconsfield Villas, Brighton, BN1 6HE, United Kingdom",The Haven Practice,100,Beaconsfield Villas,BN1 6HE,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,1,1,1
138 Beaconsfield Villas,The Surgery,138 Beaconsfield Villas,"Brighton,East Sussex",BN1 6HE,50.8439862,-0.1431113,"Growing Up Green, 138 Beaconsfield Villas, Brighton, BN1 6HQ, United Kingdom",Growing Up Green,138,Beaconsfield Villas,BN1 6HQ,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
16 Beatty Avenue,The Surgery,16 Beatty Avenue,"Coldean,Brighton,East Sussex",BN1 9ED,50.8655662,-0.11441,"Beatty Avenue, Brighton, BN1 9EP, United Kingdom",Beatty Avenue,,Beatty Avenue,BN1 9EP,,Coldean,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
"9 Beaconsfield Road, Brighton",The Surgery,9 Beaconsfield Road,"Brighton,East Sussex",BN1 4QH,50.8342099,-0.1389693,"Beaconsfield Road, Brighton, BN1 4QH, United Kingdom",Beaconsfield Road,,Beaconsfield Road,BN1 4QH,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.7,1,1
"Broadway Surgery, Brighton",Broadway Surgery,Wellsbourne Health Centre,"179 Whitehawk Road, Brighton",BN2 5FL,50.8258089,-0.107544867,"Brighton and Hove, BN2 5FL, United Kingdom",Brighton and Hove,,,BN2 5FL,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.7,1,
"The Brow Medical Centre, B Hill",The Brow Medical Centre,The Brow,"Burgess Hill,West Sussex",RH15 9BS,50.95551913333333,-0.135644567,"Burgess Hill (Mid Sussex), RH15 9BS, United Kingdom",Burgess Hill,,,RH15 9BS,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.6,1,
14 Burwash Road,The Surgery,14 Burwash Road,"Hove, East Sussex",BN3 8GQ,50.8511914,-0.1901047,"Burwash Road, Portslade by Sea, BN3 8GQ, United Kingdom",Burwash Road,,Burwash Road,BN3 8GQ,,Hangleton,Portslade by Sea,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.6649999999999999,1,1
Carden Surgery,Carden Surgery,County Oak Medical Centre,"Carden, Hill, Brighton, East Sussex",BN1 8DD,50.860136,-0.130815,"Carden Hill, Brighton and Hove, BN1 8DD, United Kingdom",,,Carden Hill,BN1 8DD,,,Brighton and Hove,East Sussex,ESX,England,ENG,United Kingdom,gb,0,,
1 Central Court,Central Surgery,1 Central Court,"Telscombe Cliffs, Brighton,East Sx",BN10 7LU,50.794433,-0.013653,"Telscombe Cliffs Post Office, 3 Avenue, Peacehaven, BN10 7LU, United Kingdom",Telscombe Cliffs Post Office,3,Central Avenue,BN10 7LU,Telscombe,Telscombe Cliffs,Peacehaven,East Sussex,ESX,England,ENG,United Kingdom,gb,0.63,1,1
Trinity Medical Centre,Trinity Medical Centre,1 Goldstone Villas,"Hove,East Sussex",BN3 3AT,50.829602050000005,-0.147791288,"Seven Dials Medical Centre, 24 Montpelier Crescent, Brighton, BN1 3JJ, United Kingdom",Seven Dials Medical Centre,24,Montpelier Crescent,BN1 3JJ,,Prestonville,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.03969,0.3,0.13229999999999997
Chapel Street Surgery,Chapel Street Surgery,Chapel Street,"Newhaven,East Sussex",BN9 9PW,50.79311,0.05121,"Mount Pleasant (Newhaven), BN9 9PW, United Kingdom",Newhaven,,,BN9 9PW,,,Newhaven,East Sussex,ESX,England,ENG,United Kingdom,gb,0.7,1,
Church Surgery,Church Surgery,"Saunders Park Rise, Lewes Road","Brighton,East Sussex",BN2 4ES,50.83965005,-0.1233154,"Brighton and Hove, BN2 4ES, United Kingdom",Brighton and Hove,,,BN2 4ES,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
Portslade County Clinic (Benfield),Benfield Valley Healthcare,Old Shoreham Road,"Portslade,Sussex",BN41 1XR,50.8381968,-0.2110701,"Portslade County Clinic, Old Shoreham Road, Portslade by Sea, BN41 1XR, United Kingdom",Portslade County Clinic,,Old Shoreham Road,BN41 1XR,,Portslade Village,Portslade by Sea,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.42524999999999996,0.567,0.42524999999999996
Goodwood Court Surgery,Goodwood Court Surgery,52 Cromwell Road,"Hove,East Sussex",BN3 3ER,50.834592,-0.16607,"1-20 Devonshire Court, Brighton and Hove, BN3 6GT, United Kingdom",,Jan-20,Devonshire Court,BN3 6GT,,,Brighton and Hove,East Sussex,ESX,England,ENG,United Kingdom,gb,0.048999999999999995,0.7,0.07
Charter Medical Centre,Charter Medical Centre,88 Davigdor Road,"Hove, East Sussex",BN3 1RF,50.829602050000005,-0.147791288,"Seven Dials Medical Centre, 24 Montpelier Crescent, Brighton, BN1 3JJ, United Kingdom",Seven Dials Medical Centre,24,Montpelier Crescent,BN1 3JJ,,Prestonville,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.44099999999999995
The Deneway Surgery,The Deneway Surgery,"Lionsdene, 11 The Deneway","Brighton,East Sussex",BN1 8QR,50.85665,-0.15487,"Brighton and Hove, BN1 8QR, United Kingdom",Brighton and Hove,,,BN1 8QR,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
Dolphins Practice,Dolphins Practice,Nightingale Primary Care Centre,"Haywards Heath,West Sussex",RH16 4BN,51.0001855,-0.1160416,"Haywards Heath (Mid Sussex), RH16 4BN, United Kingdom",Haywards Heath,,,RH16 4BN,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
Ouse Valley Practice,Ouse Valley Practice,"Dumbledore PCC, London Road","Handcross,West Sussex",RH17 6HB,51.060410805000004,-0.20177756,"Slaugham (Mid Sussex), RH17 6HB, United Kingdom",Slaugham,,,RH17 6HB,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
24 Eaton Place,The Surgery,24 Eaton Place,"Brighton,East Sussex",BN2 1EH,50.8172579,-0.1164827,"Eaton Place, Brighton, BN2 1EH, United Kingdom",Eaton Place,,Eaton Place,BN2 1EH,,Kemptown,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.7,1,1
